spine01;spine.004
spine02;spine.003
spine03;spine.002
spine04;spine.001
spine05;spine
breast.L;breast.L
wrist.L;hand.L
metacarpal1.L;palm.01.L
metacarpal2.L;palm.02.L
metacarpal3.L;palm.03.L
metacarpal4.L;palm.04.L
finger1-1.L;thumb.01.L
finger1-2.L;thumb.02.L
finger1-3.L;thumb.03.L
finger2-1.L;f_index.01.L
finger2-2.L;f_index.02.L
finger2-3.L;f_index.03.L
finger3-1.L;f_middle.01.L
finger3-2.L;f_middle.02.L
finger3-3.L;f_middle.03.L
finger4-1.L;f_ring.01.L
finger4-2.L;f_ring.02.L
finger4-3.L;f_ring.03.L
finger5-1.L;f_pinky.01.L
finger5-2.L;f_pinky.02.L
finger5-3.L;f_pinky.03.L
breast.R;breast.R
wrist.R;hand.R
metacarpal1.R;palm.01.R
metacarpal2.R;palm.02.R
metacarpal3.R;palm.03.R
metacarpal4.R;palm.04.R
finger1-1.R;thumb.01.R
finger1-2.R;thumb.02.R
finger1-3.R;thumb.03.R
finger2-1.R;f_index.01.R
finger2-2.R;f_index.02.R
finger2-3.R;f_index.03.R
finger3-1.R;f_middle.01.R
finger3-2.R;f_middle.02.R
finger3-3.R;f_middle.03.R
finger4-1.R;f_ring.01.R
finger4-2.R;f_ring.02.R
finger4-3.R;f_ring.03.R
finger5-1.R;f_pinky.01.R
finger5-2.R;f_pinky.02.R
finger5-3.R;f_pinky.03.R
